# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
গভীরতা	এবং,মিটার,যোগ,হল,যুক্ত
গভীরতানির্ণয়	ডায়াগ্রাম,সিস্টেমগুলি
গভীরতার	অনুভূতি,একটি,আরেকটি,জন্য,মধ্যে
গভীরতায়	মাফিয়া,একটি,সাঁতার,ডুবিয়েছিল,ভার্চুয়াল
গভীরভাবে	প্রেমে,প্রভাবিত,জড়িত,অনুসন্ধান,শ্বাস
গভীরে	প্রবেশ,যাওয়ার,ডুব,অবস্থিত,নিয়ে
গভীরের	বাসিন্দাদের,স্তরে,পরিবর্তে
গম	চকোলেট,মোড়ানো,এবং,উত্পাদন,উৎপাদনে
গমন	করেন,করে,করতে,করা,করলে
গমনকারীদের	জন্য
গমনের	সময়,ফলে
গমের	আটা,পাস্তা,রুটি,ময়দা,শীষ
গম্বুজ	হিসাবে,ছাতা,ডিক্রি,এবং,আকৃতির
গম্ভীর	করা,এবং,আওয়াজ,মেজাজ,অভিব্যক্তি
গরগর	শব্দ,আওয়াজ
গরম	করুন,পরিবেশন,এবং,করার,করা
গরমে	ঠান্ডা,লনে,সুতি
গরমের	দিনে,পরিবর্তে,মাসগুলিতে,দিনের,কারণে
গরাদহীন	বর্ণালীলেখ,জানলা
গরিব	ব্রাহ্মণ,অংশে,নওয়াজ,বেহালাবাদক
গরিলা	সম্পর্কে,একটি,সাধারণত,বসেছিল,তাদের
গরিলারা	তাদের,তৃণভোজী,কিভাবে
গরু	বা,উভয়ই,বড়,হল,একটি
গরুকে	মাতৃদেবী,মহিষ,খাওয়ানো
গরুর	গাড়ির,বা,এবং,গাড়ি,যোগ
গর্জন	করে,করা,করছে,এবং,করতে
গর্জনকারী	কণ্ঠে,নদীতে,স্টক,পাতা
গর্জেস	ড্যাম,বাঁধ
গর্ডন	মুর,পাস্কের,ব্রাউন,পার্কার,চাইল্ড
গর্ডনের	মতে,কাহিনীগুলি,চিত্রকাহিনী,সর্বাধুনিক,কাহিনী
গর্ডান	একটি,সমস্যা,ম্যাথমেটিসচে,নিজেই
গর্ত	করা,থেকে,বা,খুঁড়ে,সহ
গর্তগুলি	খুঁজে,ছেড়ে
গর্তবসতিগুলো	এই
গর্তযুক্ত	প্রবেশ
গর্তে	পড়ে,ফেলার,ফিরে,থাকত,ঢুকিয়ে
গর্তের	মধ্যে,মধ্য,বাইরে,মাধ্যমে,উপর
গর্ব	করে,এবং,করা,ও,করেন
গর্ববোধ	করেন,করে,করত,করা
গর্বাচেভ	ইউএসএসআর,চরিত্রে
গর্বিত	এবং,ছিল,ছিলেন,বোধ,করে
গর্বিতভাবে	তাদের,ঘোষণা
গর্বে	আঘাত
গর্বের	সাথে,অনুভূতি,মুহূর্ত,একটি,মধ্যে
গর্ভ	থেকে,সঞ্চারের,সমাপ্তি
গর্ভজাত	সন্তান,সন্তানের
গর্ভধারণ	বা,থেকে,করে,করেছিলেন,প্রতিরোধ
গর্ভধারণের	পর,জন্য,প্রতিরোধ,ফলাফলে,হার
গর্ভনিরোধ	করা,বা
গর্ভনিরোধক	দৃষ্টিভঙ্গি,পদ্ধতি,যা,শুধুমাত্র,অনুসারে
গর্ভনিরোধের	পক্ষে,ফলে,একটি,জ্ঞান,ব্যবহারের
গর্ভপাত	করানোর,হত্তয়া,করা,বলতে,সংক্রান্ত
গর্ভপাতকারী	হিসেবে,যৌগ
গর্ভপাতকে	অবৈধ,বুঝায়,নৈতিকভাবে,কোনও,অপরাধ
গর্ভপাতে	উতসাহ,সহায়ক
গর্ভপাতের	জন্য,ইতিহাস,প্রচলন,ফলে,ঔষধ
গর্ভবতী	মা,মহিলা,নারীর,মহিলাদের,হওয়া
গর্ভসঞ্চার	অন্তর্ভুক্ত,হয়
গর্ভস্থ	খনিতে,সন্তান
গর্ভাবস্থা	এবং,সহ,প্রসব,এড়াতে,নিষ্ক্রিয়
গর্ভাবস্থার	প্রাথমিক,শেষের,প্রতিরোধ,হার,ছুটি
গর্ভাবস্থায়	বায়ু,বা,মোশন,শিশুর,অপমানজনক
গর্ভাশয়ের	মধ্যে,বাইরে
গর্ভে	ছিল,বিলীন,সমকামবাদী,হাজারো,প্রাণনাশক
গর্ভের	ফুল,কোনো,অবস্থা
গল	এয়ারপোর্ট,বিমানবন্দরের
গলগি	যন্ত্রপাতি,যন্ত্র,যন্ত্রপাতিও
গলছে	তার,তা
গলতে	শুরু,দিন,অক্ষম,কতটা,হ্রাস
গলদা	লেজ,রোল
গলদেশ	ধরা
গলন	এবং,মেরু,অনুভব,ও
গলনাঙ্ক	এবং,প্রায়,একটি,নির্ধারণ,এর
গলনের	ফলে,দৈনিক,উপাও
গলফ	কোর্সে,ছাতা,খবর,বলের,বলকে
গলা	ব্যথা,ব্যাথা,এবং,থেকে,ক্যান্সার
গলাইয়া	করা
গলাতে	পারে,দেওয়ার,চলমান,দিন,আসে
গলান	জামাবিশেষ
গলানো	মাখন,পনির,চকলেট,হচ্ছে,হতে
গলানোর	ফলে,প্রক্রিয়া,পরপরই,দিকে,কারণে
গলাবন্ধ	রূমাল,রুমাল
গলাবাজি	করা
গলার	স্বরনালি,টুকিটাকি,হার,স্বর্ণের,বাঁধিবার
গলায়	বাঁধার,বলল,ব্যথা,রাখলে,জ্বালা
গলি	শাকস,এবং,বা
গলিত	মাখন,সোডিয়াম,হিমবাহ,লাভা,বাইরের
গলিতে	আটকে,এক,ছুটল
গলির	বিড়ালের,বিড়াল,মোড়
গলিয়ে	নিন,দিচ্ছে,ইট,রুটিটি,মিশ্রণে
গলে	যাওয়া,যায়,যাচ্ছে,যাওয়ার,গেলে
গল্প	তৈরি,লিখুন,বলার,বলে,এবং
গল্পকথা	কারণ,মতে,শোনে
গল্পকার	ছিলেন,এবং
গল্পকে	এগিয়ে,চিত্রিত,মিশ্রিত,গতিশীল,একত্রিত
গল্পগুলি	ভাগ,প্রায়শই,দ্বারা,নিশ্চিত,এবং
গল্পগুলিকে	স্ক্রীনে,বোঝায়,নিছক,ভুল,জীবিত
গল্পগুলিতে	হারিয়ে,কার্যকরভাবে
গল্পগুলির	মধ্যে,সাথে,কেন্দ্রীয়
গল্পগুলো	রামায়ণ,কোনো,ইসলামি
গল্পগুলোর	পটভূমিতে,সত্যতা,নাটকীয়
গল্পটি	একটি,শেষ,শুরু,সংক্ষিপ্ত,বর্ণনা
গল্পটিকে	এগিয়ে,প্রাণবন্ত,আরও,তার,একসাথে
গল্পটিতে	একটি,একজন,নতুন
গল্পটির	অনেক,সংক্ষিপ্তসার,হলো,সম্ভবত,সারসংক্ষেপ
গল্পদুটি	থেকে,ফ্রয়েডের
গল্পদুটিতে	অ্যালিস,ক্লাসিক্যাল
গল্পরেখা	তৈরি,বর্ণনা,এবং,নিয়ে
গল্পে	একটি,পরিণত,দেখা,আপনার,পূর্ণ
গল্পের	জন্য,একটি,নৈতিকতা,নায়ক,প্রধান
গল্ফ	খেলোয়াড়,তারকা,বলকে,বলের,বলগুলিকে
গল্ফখেলা	খেলা
গল্ফখেলার	লাঠি
গসিপ	বা,এবং,বিনিময়
গহনা	বিক্রিতে,আবিষ্কার,সম্পর্কিত,নামে,এবং
গহনাগুলির	উচ্চ,মতো
গহ্বর	থাকে,প্রতিরোধ,থেকে
গহ্বরকে	প্রসারিত,পেটের
গহ্বরে	ফিরে,লাফ,পড়ে
গহ্বরের	ভিতরে,দিকে,মধ্য,আকার,ভূমিতে
গা	থেকে,গরম,ঝিমঝিম,শিউড়ে,ঢাকা
গাঁ	শব্দ,ধ্বনি
গাঁজন	করার,হতে,মধ্যে,দুটি,একটি
গাঁজা	এবং,অপেক্ষা
গাঁজাইয়া	তোলার,তোলা,গরম,প্রস্তুত
গাঁজানো	সয়াবিন,চাল
গাঁজিয়ে	তোলা,নিতে
গাঁটবন্দী	করা,করার
গাঁথা	আবশ্যকমত,লিখেছেন,জড়োয়াযুক্ত
গাঁথার	বর্ণনা,চেষ্টা
গাঁথুনির	মাধ্যাকর্ষণ,বাইরের
গাঁদা	ফুল,একটি,এবং
গাই	ব্যবহার,নিয়ে,ক্যাসিয়ার্স
গাইউস	ক্যাসিয়াস,অক্টাভিয়াস
গাইছিল	এবং,যখন
গাইড	করতে,করার,হিসাবে,করে,করবে
গাইডেড	মেডিটেশন,ট্যুর,বোমা,স্ট্রিট,প্রকৃতি
গাইডেন্স	সিস্টেমগুলি,সিস্টেম,কম্পিউটার,নিয়ম,সহ
গাইডেন্সের	প্রয়োজন,সর্বাধিক,এই
গাইডের	সাথে,মাধ্যমে,মতো,জন্য,ট্যাব
গাইতে	শুরু,থাকে,পছন্দ,ভালোবাসি,ভালোবাসো
গাইতেও	পছন্দ
গাইতেন	যা
গাইবার	জন্য,সময়
গাইয়া	নামে
গাউন	একটি,পরে
গাউনে	হল,ঘুরছিলেন
গাউনের	জ্বলন্ত,জন্য
গাউস	বীজগণিতের,সংখ্যাতত্ত্বেও,গ্রহটির,ডিউকের,ছোটবেলা
গাউসকে	বৃহৎ,ভাষাবিজ্ঞানের
গাউসিয়ান	ডিস্ট্রিবিউশন,নির্মূল
গাউসের	ক্ষেত্রফল,সমপর্যায়ের,প্রমাণটিও,বুদ্ধিদীপ্ত,যোগ
গাও	জিয়ানঝি,আরবদের
গাওয়া	এবং,হয়,একটি,গাছ,তাকে
গাওয়ার	সময়,মজাতে,জন্য,অনুমতি
গাছ	এবং,থেকে,লাগানো,লাগান,একটি
গাছও	যোগ,শ্রেণিবিন্যাস
গাছকে	বা,পটাসিয়াম,নোডের,অতিক্রম,বিশেষণে
গাছগাছালি	আর,চিনিয়ে,খুব
গাছগুলি	দ্রুত,তাদের,চরম,তার,লম্বা
গাছগুলিকে	ধ্বংস,মহাকাশে,বাঁকিয়ে,নামক,ভোরে
গাছগুলিতে	স্প্রে,বা,হলুদ,বড়,সঠিক
গাছগুলির	সাথে,আকার,মধ্যে,প্রাণবন্ত,একটি
গাছগুলো	তার,খালি,গান,হারিয়ে,খুব
গাছগুলোকে	সুস্থ,আগের
গাছটি	একটি,লম্বা,প্রখর,বিক্রি,অতিক্রম
গাছটিকে	প্রায়শই,বিভিন্ন,মাটিতে,এমনভাবে,তার
গাছটিতে	বজ্রপাত,বসে,উপস্থিত
গাছটির	বড়,সাথে
গাছপালা	এবং,তাদের,জল,দ্বারা,বা
গাছপালাও	বায়ুতে,খেয়েছিল
গাছপালাকে	জল,ভিড়,বুদ্ধিমত্তার,ফিরে,শুধুমাত্র
গাছপালাগুলির	একটি,স্তরে,সন্ধান,সংখ্যা,মধ্যে
গাছপালার	পাতা,ছবিগুলো,অস্তিত্ব,শিকড়,অধিকার
গাছে	জল,আরোহণ,হোঁচট,উঠল,পাখিদের
গাছের	মধ্যে,মতো,বৃদ্ধি,নিচে,একটি
গাছেরও	তাদের,খাদ্যের
গাজর	এবং,বা,যোগ,বিটা,খাওয়া
গাজরজাতীয়	সব্জী
গাজরে	চুমুক,ভরা
গাজরের	সাথে,কাঠি,প্যাচের,খোসা,গোলাকার
গাজা	ভূখণ্ডের,একটি,অবরোধ,শহরে,পর্যন্ত
গাজার	পরিস্থিতি,বর্তমান,লড়াইয়ে,সংযোগের
গাজিতে	প্রাসাদোত্তর,পাওয়া
গাজী	শাহ,অভিযোগ
গাজীপুর	জেলার,ইসলামী,সিটি
গাটম্যান	এবং,দ্বিতীয়
গাঠনিক	উপাদান,উপাদানের,উপাদানসমূহের,বিন্যাসের,কণাগুলো
গাণিতিক	সমীকরণ,ক্রিয়াকলাপ,সমস্যা,যুক্তি,দক্ষতা
গাণিতিকভাবে	সম্পর্কিত,বর্ণনা,অসমতা,নিম্নলিখিত,প্রকাশ
গাণ্ডেপিণ্ডে	খাত্তয়া
গাত্রচর্মের	পীতাভ
গাদলা	হেনরি,ইনকোসিদের,ছিলেন
গাদা	মধ্যে,শুরু,একত্রিত,তৈরি,সেট
গাদাগাদি	করান,করা
গাধা	এবং,ইত্যাদির
গাধিমাই	উৎসবে,মন্দির
গান	গায়,রচনা,শুনতে,গেয়েছিলেন,গাওয়া
গানকে	শ্রেণিবদ্ধ,পরিমার্জিত
গানগুলি	গল্পের,চালাতে,শুনে,একটি,সুপারিশ
গানগুলিকে	সকলের,সংশোধন
গানগুলির	সাথে,মধ্যে,জন্য
গানটি	গাই,শুরু,গ্রীষ্মের,ছিল,এটির
গানটিকে	উত্সাহী,দ্রুতগতির,বা,একটি,এর
গানটিতে	মানি,স্বতন্ত্র
গানটির	নাম,একটি,লিরিক্স,উদ্দেশ্য,জন্য
গানবিষয়ক	রচনা
গানা	ডট
গানে	সাধারণত,যোগ,আমাদের,উপস্থিত,একটি
গানের	কথা,জন্য,একটি,শিরোনাম,সাথে
গান্ধী	ছিলেন,এবং,আন্তর্জাতিক,ভারত,সমুদ্রসেতু
গান্ধীকে	হত্যার,উৎসর্গ,দায়ী,তার,অত্যন্ত
গান্ধীর	বুকে,দৃষ্টিভঙ্গি,হত্যাকাণ্ড,প্রতিরোধ,প্রতিবাদ
গাব্রিয়েল	গোন্সালেস,গার্সিয়া
গাভী	ও,এর
গাম	ওয়াল,অ্যালির,ব্লবগুলিতে,ফেলত,দিয়ে
গামছা	বিছিয়ে,বা
গামা	রশ্মি,রশ্মির,বিকিরণের,পরামিতি,সিদ্ধান্তের
গামার	জন্য,অসুস্থতায়,সালে
গামে	ঢাকা,থাকা,দাঁতের
গামের	টুকরো,প্রাচীরটিকে,প্রচলন
গাম্বো	একটি,পরিবেশন
গার	দু,দ্যু
গারো	ও,এবং
গার্টনারকে	বিয়ে
গার্ড	রেজিমেন্ট,রেজিমেন্টের,এবং,দিয়ে,সহ
গার্ডনার	সহ,লক্ষ্য,তাঁর,পরে
গার্ডনারের	তীব্র,অভিজ্ঞতা,মতে,একাধিক
গার্ডিয়া	ডি,নাসিওনাল
গার্ডিয়ানে	দেয়া,প্রকাশিত
গার্ডিয়ানের	তথ্যানুসারে,হান্না
গার্ডিয়্যান্স	অফ,মহাজগৎ
গার্ডেন	তৈরি,শেড,অনন্য,নামেও,সাধারণত
গার্ডেনগুলি	বিশ্রাম,সাধারণত
গার্ডেনস	হংকংয়ের,প্রকল্পের
গার্ডেনে	যান,বিরতি,বিশ্রাম
গার্ডেনের	একটি,অফার,এই,বাসিন্দাদের
গার্ডের	সামরিক,নির্বাহী
গার্দ	কমিক্স
গার্নিশ	যোগ,করুন,জন্য,দিয়ে,হিসাবে
গার্নিশের	জন্য
গার্বেজ	আউট,ইন
গার্মেন্টস	লিমিটেড,শিল্পের,ছিল,স্থানীয়,সালে
গার্ল	পাওয়ার,এর,উইথ,হু,দ্রুত
গার্লস	কোয়েস্ট,ফ্যাশন,জার্নি,কলেজে,নামে
গার্লিক	ব্রেড,হার্ব,বাটার,ব্রেডের,চিকেন
গার্সিয়া	মার্কেজ,লোরকার,ও,মার্কেস
গার্হস্থ্য	ব্যবহারের,নীতি,এবং,ঘটনাগুলির,কুকুরের
গাল	বেয়ে,কাঁপিয়েছিল,ছিল,হাসি,জুড়ে
গালফ	অফ,নামে,সাগরের,বলা
গালভরা	বক্তৃতা
গালভানি	ছিলেন,সম্পর্কে
গালভানির	স্মৃতিস্তম্ভ,নামানুসারে
গালমন্দ	দেত্তয়া
গালাগালি	করা,দেয়
গালাপাগোস	এবং,দ্বীপপুঞ্জ
গালাহাদ	নামে,তার,জানত,সেই,দমে
গালি	দেত্তয়া,দেয়,দেওয়া
গালিচা	এবং,বা
গালির	মধ্যবর্তী
গালিলেও	গালিলেই,গালিলেইকে,তার
গালে	মৃদু,ব্রাশ,চুম্বন,দেগে
গালের	হাড়,পাউচ,আকৃতি,একপ্রকার
গাড়ি	চালানোর,এবং,তৈরি,চালানো,ভাড়া
গাড়িই	পরিবহনের,স্ট্যান্ডার্ড,ছিল
গাড়িকে	ব্যবহার,সম্ভব,সাধারণত,তাড়িয়ে,ত্বরান্বিত
গাড়িগুলি	একটি,তাদের,স্মার্ট,উন্নত,অনেক
গাড়িগুলিও	ভাল,ব্যবহৃত
গাড়িগুলিকে	এখনও,সুবিধামত,গড়,স্বায়ত্তশাসিতভাবে,শক্তি
গাড়িগুলিতে	তাত্ক্ষণিক,সুরক্ষিত,সঠিক,মাউন্ট,সাধারণ
গাড়িগুলির	সাথে,সামনের,তুলনায়,শীর্ষ,মতো
গাড়িগুলো	পাশ,চলতে,বাইরে,বেশ,পরিবহনের
গাড়িগুলোকে	গোল,একসাথে
গাড়িগুলোর	সাফল্যের,নামকরণ
গাড়িটা	দেখল,বাইরে,আমার,লাল
গাড়িটি	একটি,রাস্তায়,দ্রুত,নতুন,নিরাপত্তার
গাড়িটিকে	তার,একটি,মাটি,উঠান৷,নীচে
গাড়িটিতে	নিরাপত্তা,উন্নত,যে,ফক্সভাগেন,বেশ
গাড়িটির	একটি,একক,মডেল,নিরাপত্তা,রূপকার
গাড়িতে	ফিরে,ব্যবহৃত,ড্রাইভ,ব্যবহার,একটি
গাড়ির	সংখ্যা,জন্য,সাথে,তুলনায়,মতো
গাড়ী	একটি,চার্জার,ধোয়ার,পরিদর্শন,অবজেক্ট
গাড়ীতে	বহন,উপলভ্য,যাত্তয়া
গাড়ীর	আড্ডা,মধ্যে,চাকার,মত,একটি
গাঢ়	রং,রঙের,বাদামী,নীল,এবং
গাঢ়ভাবে	রঁজিত
গায়	আর,এত,না
গায়ক	পক্ষী,এবং,আনন্দের,হলেন,ছিলেন
গায়ককে	একটি,দূরে
গায়কদল	তার,এমনকি,সহ
গায়কদলের	সাথে,উপর,তৈরি,সুন্দর,প্রধান
গায়কদের	একটি,ওজন
গায়কের	নাম,কণ্ঠ,বিবর্তনকে,আত্মবিশ্বাসের,দ্বারা
গায়ানা	মহাকাশ,যুক্তরাজ্যের,বা
গায়ানার	কুরু,কুরুতে,ভাষা
গায়ারটি	আটলান্টিক,আফ্রিকান,প্রশান্ত
গায়ে	একটি,লেপা,অর্থাৎ,দিতেন,ফাটল
গায়ের	অংশ,রঙ,লাল,গন্ধ
গিঁট	দেত্তয়া,খুলতে,এবং,দিয়ে,বা
গিক	পডকাস্ট,বলতেও
গিগ	অর্থনীতির,থেকে,আছে,বুক,বা
গিগাওয়াট	বেশি,ব্যাটারি
গিগাওয়াটআওয়ার	ব্যাটারি,এবং
গিগাওয়াটে	ট্রান্সমিশন,সীমিত
গিগাবাইট	পরিমাণ,জায়গার
গিজ	আকাশে,থেকে,উড়ে,আপনার
গিজকে	খাওয়ায়,গাগল
গিজার	গ্রেট,পিরামিড,পিরামিডগুলি,দ্বিতীয়,এবং
গিজেট	বুঝতে,তার,অবশেষে,নামে,অস্তিত্বে
গিজেটের	ভিতরে,ক্ষমতা
গিট	ব্যবহার,অ্যাড,কমিট,ওয়ার্কফ্লো,ইত্যাদি
গিটার	বাজাতে,বাজানো,বাজাচ্ছে,বা,এবং
গিটারটি	ধরল,বেশ
গিটারে	একটি,স্বজ্ঞাত
গিটারের	নরম,সুর,সাথে,রিফটি,তুলনা
গিনি	এবং,পিগ,সূচক,ও,পাওয়া
গিনিপিগ	এবং
গিনির	ওরো,লোকেরা,কয়েকটি
গিনেস	বিশ্ব,রেকর্ড,বুক
গিন্সবার্গ	এবং,ছিলেন,লিঙ্গ
গিবনের	মতো
গিবসন	বার,কর্তৃক
গির	কেসর,কেশর,বনে,অভয়ারণ্য
গিরনারের	কেসর,পাহাড়ের
গিরিখাত	জুড়ে,যা,গঠন,বা
গিরিখাতটি	মাইলেরও,মাইল,কমপক্ষে
গিরিজা	প্রসাদ
গিরিপথ	দিয়ে,প্রকাশ,এবং,সহ
গিরিমাটি	দ্বারা,দিয়ে,বেশ
গির্জা	হইতে,হিসাবে,পরিষেবাগুলিতে,এবং,বা
গির্জার	যে,কাপড়,গুম্বজবিশেষ,তত্বাবধায়ক,অংশ
গির্জায়	ঘেরা,ধর্মযাজক,প্রচলিত,তার,প্রস্তাবিত
গিল	মার্কাস,এবং,এমেলিও
গিলবার্ট	মুরে,দ্বীপপুঞ্জকে
গিলম্যান	কথা,এবং
গিলা	দানব,মনস্টার
গিলাইম	লিব্রি
গিলিয়া	ফেলা,মুখ
গিলে	ফেলা,ফেলতে,খাওয়া,ফেলতেন,ফেলার
গিলোটিন	পরবর্তীতে,দ্বারা
গিল্ড	পুরস্কার
গিল্ডেড	যুগের
গিয়াছি	এমন
গিয়ার	এবং,পরা,যেমন,প্যাক,বা
গিয়ারগুলি	স্থানান্তর,পরিবর্তন
গিয়ারবক্স	ছিল,সহ
গিয়ারে	দুর্ঘটনাজনিত,ট্রান্সমিশনের,ছয়টি
গিয়ারের	একটি,মতো,শীর্ষে,সাথে,বিস্তৃত
গিয়াসউদ্দিন	তুগলকের,তুঘলক
গিয়াসউদ্দীনকে	পরাজিত
গিয়ে	তিনি,কিছু,এবং,তার,একটি
গিয়েই	দ্রুত,যে,বিশ্বের,সাবমেরিনের,প্রাচ্যের
গিয়েও	ছবি,অবচেতন
গিয়েছিল	এবং,যে,কিন্তু,যেখানে,যখন
গিয়েছিলাম	এবং,কারণ,কিছু,বলে,কিন্তু
গিয়েছিলেন	এবং,তার,ফল,যেখানে,যাকে
গিয়েছিলো	দক্ষিণে,অথবা,এবং,তাদের,পরবর্তীতে
গিয়েছে	যে,এবং,তার,বগুড়ার,যা
গীক	ও,পুরাণে
গীত	পালাগান
গীতা	এবং,বিশ্বাস,পাসি
গীতিকার	এবং,এক,বিশেষভাবে,বা,গানের
গীতিমূলক	শিরোনাম,বা,লাইন
গীর্জা	গর্ভনিরোধের,স্থাপন
গুঁজন	করা
গুঁড়া	করা,চিনি,ও,দিয়ে,এবং
গুঁড়ি	বৃষ্টি,দিন,দিয়ে,এবং
গুঁড়িতে	ছোট,আঁকড়ে
গুঁড়িয়ে	গিয়েছিল,দেওয়ার
গুঁড়ো	চিনি,করা,করুন,দিয়ে,করে
গুই	ইন্সটলার,এবং,প্যাকেজ,ম্যানেজার
গুইন্যান্ড	অ্যাডিলেডের,রোডস,কেমব্রিজ
গুইন্যান্ডের	এই,গবেষণা
গুগল	প্লে,হোমের,ড্রাইভ,অ্যাসিস্ট্যান্ট,নিউজ
গুগলিয়েলমো	নামে,আলজেরিয়ার,মার্কোনি
গুগলে	কাজ,অনুসন্ধান,পাওয়া
গুগলের	মতো,সহ,সিইও,এআই,রোবোটিক্সের
গুচ্ছ	আকারে,দেখতে,রয়েছে,অভিন্নরূপী,বা
গুচ্ছবদ্ধ	করা
গুচ্ছবিন্যাসতাত্ত্বিক	সমস্যার,সর্বোচ্চ
গুচ্ছে	ত্বরিত
গুছাইয়া	সাজান
গুছিয়ে	তার,রাখতে,নিল,রাখার,নিন
গুজব	ছিল,বলে,শুনেছিল,ছড়ান,রটনাকারী
গুজবে	ভরা
গুজবের	প্রচার,কারণ,সরকারি
গুজরাট	এবং,সরকার,প্রবেশ,দখল,প্রদেশের
গুজরাটে	থাকবে,হয়,অবস্থিত
গুজরাটের	আরব,গিরনারের,সুরাট
গুজরাতের	নভসারিতে,উপকূল,সাবরমতী
গুঞ্জন	তৈরি,এবং,করছে,করছিল,করে
গুঞ্জনের	সাথে,পর
গুটাইয়া	রাখার,পলাইয়া
গুটানো	অবস্থায়,যায়
গুটি	থেকে,থাকে,বসন্ত,চাষের,অপসারণ
গুটিকে	বোমা,উল্টে,উচ্ছেদ
গুটিকয়েক	লোকের,মানুষ
গুটিগুলি	বসানো,গড়িয়ে,তারের
গুটিগুলিকে	দুইভাগে,কোন
গুটিবসন্ত	একটি,প্রথম
গুটির	স্থান,দেখা,আপক্ষিক,প্রতিটি
গুটিয়ান	অভিযান,বিজয়াভিযানের
গুটিয়ে	নিয়ে,নেন,নিন,একসাথে,রাখা
গুটেনবার্গ	প্রকল্প,একটি,দ্বারা,ধাতুর,প্রকল্পের
গুঠিয়া	নামক
গুঠিয়ার	সন্দেশ
গুড	ক্লাস,বাড়ায়
গুডউড	ফেস্টিভ্যাল,ফেস্টিভ্যালে
গুডনাইট	মুন,এরপরই,এবং
গুণ	করে,করুন,বেশি,করতে,এবং
গুণক	প্রভাবের,দ্বারা,যোগ,উপাদান,প্রমাণীকরণ
গুণকারী	যন্ত্র
গুণকে	পূর্বাবস্থায়,বোঝায়
গুণগত	তথ্য,গবেষণা,ডেটা,মান,এবং
গুণগতভাবে	দুটি,ফ্রিডরিখের
গুণগতমান	এবং,ও
গুণগান	করা,নিজেই
গুণগুলির	মধ্যে,কারণে
গুণটি	নিশ্চিত,বোলৎসমান
গুণন	সারণী,এবং,অপারেশন,টেবিলের,প্রক্রিয়ার
গুণনীয়ক	নির্ণয়,হল,খুঁজুন,দ্বারা,চিহ্নিত
গুণনীয়কগুলির	ক্রম,গুণফল
গুণপরিবর্তণ	করা
গুণফল	হল,হিসাবে,গণনা,নির্ণয়,বের
গুণফলের	সমান,অর্ধেক,গুণ,সাথে,সমষ্টির
গুণবাচক	এবং,হতে,উক্তি
গুণমান	উন্নত,এবং,নিশ্চিত,নিশ্চিতকরণ,হ্রাস
গুণমানকে	প্রভাবিত,উন্নত,ব্যাপকভাবে,উল্লেখযোগ্যভাবে,বাড়িয়ে
গুণমানকেও	উন্নত,প্রভাবিত
গুণমানে	ধারাবাহিকতা,অস্বাভাবিক,অনুবাদ,অবদান,বিনিয়োগ
গুণমানের	উপর,নিশ্চয়তা,জন্য,কোন,আউটপুট
গুণাগুণ	অনুসারে,কি
গুণাঙ্ক	নয়,ক্রান্তি
গুণানুবাদ	করা
গুণাবলি	দ্বারা,থাকা,সম্পর্কে
গুণাবলী	এবং,বর্ণনা,বা,রয়েছে,সহ
গুণাবলীকে	অন্তর্ভুক্ত,দায়ী,বোঝানো
গুণাবলীর	মধ্যে,অধিকারী,একটি,উপর,উদাহরণ
গুণিত	করা,বস্তুর,হচ্ছে,হয়,প্রচেষ্টা
গুণিতক	খুঁজুন,হল,প্রিন্ট,এবং,সংখ্যাগুলি
গুণিতকের	যোগফল,সমান,শেষ
গুণী	চক্র,রাজকুমারীর,বিপরীত,শিল্পী
গুণে	ফিরে,শেষ,অতুলনীয়,ভালো
গুণের	ফলাফল,জন্য,নাম,তালিকা,মধ্যে
গুণেরও	বেশি
গুণ্ড়া	করা
গুদাম	জায়,ঘর,ক্রিয়াকলাপগুলিকে,ব্যবহার,হল
গুদামগুলি	সাধারণত,হল
গুদামজাত	করা,করে,পণ্য
গুদামে	লোড,অবস্থিত,ইনভেন্টরি,সালের
গুদামের	মধ্য,কর্মীরা,মধ্যে,কর্মচারী
গুন	করলে,করে,বেশি,সমাধান,করুন
গুনগুন	করে,করা,করতেন
গুনা	করা
গুন্ডা	লোসেফ,হিসাবে,এবং
গুন্ডামি	এবং,বিরোধী,করার,শনাক্ত
গুপ্ত	সাম্রাজ্য,প্রণালিতে,কাজ,চক্রান্ত,আলোচনা
গুপ্তঘাতককে	সাহায্যের,হত্যা
গুপ্তচর	হিসেবে,ক্যামেরা,হওয়ার,নেটওয়ার্ক,বাহিনীতে
গুপ্তচরবৃত্তির	বিরুদ্ধে,মাধ্যমে
গুপ্তচরের	মতো,কাজ
গুপ্তধন	খুঁজে,আবিষ্কারের,লুকিয়ে,সন্ধানের,শিকারীর
গুপ্তধনের	সন্ধানে,সন্ধান,দিকে,ছবি,দরকার
গুপ্তমুদ্রা	বা,এক
গুপ্তলিখন	যন্ত্র,নামক,যন্ত্রগুলি,যন্ত্রটি,যন্ত্রের
গুপ্তসমিতি	গঠন
গুপ্তহত্যা	করা,থেকে
গুপ্তায়িত	খতিয়ান,করার
গুপ্তের	একজন,পর
গুম	হন,হত্তয়া
গুমোট	হাত্তয়া
গুম্বজাকৃতি	ছাদওয়ালা
